"Soccer";"English";"Soccer";"Barclays";"Premier";"League";"Fixtures";1;"January";;;"Sunderland";"v";"Man";"City";;;;;;;;;;;
"Match";"Odds";;;;;;;;;;;;;;;;;;;;;;;;
1325430000000;;;;;;;;;;;;;;;;;;;;;;;;;
"Timestamp";"Inplay";"delay";"Market";"ID";"Market";"status";"Selection";"ID";"Selection";"name";"BP1";"BV1";"BP2";"BV2";"BP3";"BV3";"LP1";"LV1";"LP2";"LV2";"LP3";"LV3";"Total";"matched";"LPM"
1325415643144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415643144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5855.65;1.63;2537.67;645624;1.61;;;;;
1325415643144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415644144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415644144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5855.65;1.63;2537.67;645624;1.61;;;;;
1325415644144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415645144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415645144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5855.65;1.63;2537.67;645624;1.61;;;;;
1325415645144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415646144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415646144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5855.65;1.63;2537.67;645624;1.61;;;;;
1325415646144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415647144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415647144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5855.65;1.63;2537.67;645624;1.61;;;;;
1325415647144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415648144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415648144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5855.65;1.63;2537.67;645624;1.61;;;;;
1325415648144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415649144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415649144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5855.65;1.63;2537.67;645624;1.61;;;;;
1325415649144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415650144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415650144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5855.65;1.63;2537.67;645624;1.61;;;;;
1325415650144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415651144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415651144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5855.65;1.63;2537.67;645624;1.61;;;;;
1325415651144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415652144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415652144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415652144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415653144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415653144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415653144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415654144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415654144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415654144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415655144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415655144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415655144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415656144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415656144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415656144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415657144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415657144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415657144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415658144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415658144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415658144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415659144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415659144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415659144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415660144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415660144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415660144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415661144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415661144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415661144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415662144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415662144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415662144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415663144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415663144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645637.75;1.61;;;;;
1325415663144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415664144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415664144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415664144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415665144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415665144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415665144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415666144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415666144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415666144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415667144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415667144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415667144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415668144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415668144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415668144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415669144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415669144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415669144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415670144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415670144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415670144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415671144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415671144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415671144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415672144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415672144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415672144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415673144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415673144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415673144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415674144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415674144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415674144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415675144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415675144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415675144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415676144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415676144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415676144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415677144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415677144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415677144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415678144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415678144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;1967.99;1.59;12109.32;1.58;17186.07;1.61;4056.49;1.62;5855.65;1.63;2537.67;645797.6;1.6;;;;;
1325415678144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415679144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
